_id,tipo_de_condicionamento,troco,motivo,data_de_inicio,data_de_fim,observacoes,data_de_registo,latitude,longitude,objectid,esriGeometryPolygon
965,Estreitamento,Frente à interseção com a Rua do Molhe e numa extensãod e aproximadamente 10 metros.,Manutenção de elementos da via pública,1629846000000,1629932400000,Das 10:00 às 16:00,1629068400000,41.15849,-8.684672,14563,"[[[-46222.11959999984, 165727.70150000046], [-46219.09339999965, 165729.21460000012], [-46212.03239999999, 165715.09259999928], [-46215.18470000008, 165713.2011999992], [-46222.11959999984, 165727.70150000046]]]"
966,Corte total,entre a Travessa da Quinta Amarela e a Rua de Egas Moniz,Obras públicas,1631660400000,1631833200000,"",1629068400000,41.16279,-8.624948,14564,"[[[-41203.24799999962, 166135.74769999983], [-41203.190000000344, 166135.75999999978], [-41200.106900000006, 166136.5933999997], [-41198.41550000016, 166137.92240000004], [-41196.965800000384, 166139.9761999993], [-41196.36170000026, 166142.0299999998], [-41196.1624999996, 166144.56530000066], [-41213.51510000045, 166206.1855999994], [-41220.15110000035, 166203.8935999995], [-41233.12029999949, 166189.41530000104], [-41239.17140000037, 166171.20329999865], [-41246.08310000042, 166155.15200000023], [-41253.16009999998, 166142.57339999953], [-41256.04800000047, 166146.99929999962], [-41245.58559999993, 166166.90630000108], [-41240.68520000021, 166184.4666000008], [-41238.06959999991, 166190.93160000062], [-41227.088000000476, 166205.65700000018], [-41221.22510000036, 166213.88780000064], [-41217.13609999973, 166222.1787000001], [-41212.98319999975, 166223.26490000068], [-41210.82400000001, 166222.40239999993], [-41210.9800000005, 166211.61800000083], [-41190.079400000155, 166137.07670000015], [-41188.87129999971, 166135.38529999933], [-41185.850999999784, 166133.08990000046], [-41203.24799999962, 166135.74769999983]]]"
967,Estacionamento,no troço compreendido entre a Rua Nove de Abril e o lado oposto ao nº. 3,Obras particulares,1558569600000,1561075200000,conforme sinalização a estabelecer no local,1558051200000,"","",14565,"[[[-40902.90400000004, 166693.19559999922], [-40903.13159999986, 166692.7484000008], [-40902.2077999999, 166616.72279999917], [-40903.55970000013, 166616.50610000035], [-40905.381299999615, 166692.98530000163], [-40902.90400000004, 166693.19559999922]]]"
968,Corte total,troço compreendido entre a Rua Rodrigues de Freitas e a Praça da Batalha,Obras particulares,1558742400000,1558742400000,exceto cargas e descargas e acesso a garagens na Rua de Entreparedes,1558051200000,"","",14566,"[[[-39769.82070000003, 164069.20279999956], [-39769.81830000037, 164069.65590000027], [-39770.70669999993, 164071.9266999994], [-39748.34339999966, 164084.72079999963], [-39749.01150000004, 164086.08400000053], [-39682.601400000094, 164123.79049999994], [-39649.31280000036, 164158.05169999992], [-39645.72479999995, 164155.31299999935], [-39691.22240000047, 164112.0541999994], [-39746.56549999951, 164080.40570000035], [-39747.012099999985, 164081.0878999991], [-39769.82070000003, 164069.20279999956]]]"
969,Estreitamento,Junto ao n.º 611 e numa extensão de aproximadamente 10 metros,Manutenção de elementos da via pública,1629846000000,1629932400000,Das 10:00 às 16:00,1629068400000,41.17936,-8.606082,14567,"[[[-39607.844399999856, 168003.53260000123], [-39605.48749999987, 168002.72450000083], [-39607.70969999971, 167996.12510000012], [-39610.2012999999, 167997.0004999988], [-39607.844399999856, 168003.53260000123]]]"
970,Estreitamento,Junto à interseção com a Rua da Quinta e numa extensão de aproximadamente 10 metros,Manutenção de elementos da via pública,1629846000000,1629932400000,Das 10:00 às 16:00,1629068400000,41.14955,-8.663252,14570,"[[[-44427.033900000155, 164713.98929999958], [-44428.04239999974, 164718.36970000027], [-44422.527499999815, 164718.3067000005], [-44423.34680000031, 164713.5796000017], [-44423.63040000013, 164714.24139999968], [-44423.8195000002, 164714.77710000038], [-44424.44979999955, 164715.15530000092], [-44425.458200000205, 164715.4074000011], [-44426.151499999665, 164715.1867999991], [-44426.75030000057, 164714.6511000002], [-44427.033900000155, 164713.98929999958]]]"
971,Corte total,entre a Rua do Paraíso e a Rua de Santa Helena,Obras particulares,1597449600000,1597449600000,"",1593388800000,41.15733,-8.609688,14571,"[[[-39895.73850000002, 165643.90450000006], [-39889.38700000004, 165641.46160000027], [-39950.94840000013, 165468.99190000107], [-39958.27709999963, 165469.7247000001], [-39895.73850000002, 165643.90450000006]]]"
972,Estacionamento,"junto ao n.º 57, numa extensão de aproximadamente 5 metros",Manutenção de elementos de edifício,1601596800000,1601596800000,"",1599177600000,41.15686,-8.624631,14572,"[[[-41180.12040000043, 165512.11310000002], [-41176.82039999962, 165511.37109999947], [-41175.77329999961, 165511.16049999883], [-41176.77319999965, 165506.6728000003], [-41177.81439999956, 165506.89310000086], [-41181.126400000365, 165507.63710000055], [-41180.12239999974, 165512.1122999993], [-41180.12040000043, 165512.11310000002]]]"
973,Estacionamento,no troço compreendido entre a Praça da Batalha e o nº. 5,Obras particulares,1558742400000,1558742400000,conforme sinalização a estabelecer no local,1559001600000,"","",14573,"[[[-39684.69589999974, 164122.91059999922], [-39682.68269999974, 164120.43209999969], [-39682.68400000032, 164120.2078000012], [-39689.92999999968, 164112.84449999972], [-39746.84989999979, 164081.07619999943], [-39747.972099999904, 164081.7553000005], [-39770.33339999997, 164069.3150999997], [-39771.8913000003, 164072.68849999993], [-39768.05960000022, 164073.34060000046], [-39748.40660000038, 164084.6740000006], [-39749.074799999544, 164086.02360000095], [-39685.1475, 164122.68879999963], [-39684.69589999974, 164122.91059999922]]]"
974,Corte total,no troço compreendido entre a Praça da Corujeira e a Rua das Escolas,Obras públicas,1583884800000,1584921600000,"",1579564800000,41.15805,-8.580158,14574,"[[[-37440.42559999954, 165586.26230000018], [-37447.531100000255, 165586.17830000116], [-37447.56140000001, 165589.93579999963], [-37447.67270000004, 165595.56929999928], [-37447.83899999971, 165603.9855000004], [-37447.88289999961, 165606.21079999994], [-37448.098700000024, 165617.13380000013], [-37448.19120000031, 165621.8156999999], [-37448.397499999905, 165632.2611], [-37448.47039999993, 165637.77779999896], [-37447.14759999981, 165637.80399999936], [-37447.26379999989, 165644.7576000001], [-37447.3562000004, 165650.2815000011], [-37447.40789999996, 165653.37520000077], [-37453.21059999979, 165658.8651], [-37443.07909999957, 165662.04429999916], [-37442.72989999962, 165637.79820000028], [-37441.406999999665, 165637.81729999895], [-37441.24260000039, 165630.60410000008], [-37441.012500000244, 165614.83750000043], [-37440.6264000004, 165594.9872999999], [-37440.42559999954, 165586.26230000018]]]"
